HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"8541","0","Semiconductor devices (for example, diodes, transistors, semiconductor-based transducers); photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes (LED), whether or not assembled with other light-emitting diodes (LED); mounted piezo-electric crystals; parts thereof:","","","","","",""
"8541.10.00","1","Diodes, other than photosensitive or light-emitting diodes (LED)","","Free","","35%","",""
"8541.10.00.40","2","Unmounted chips, dice and wafers","[""No.""]","","","","",""
"","2","Other:","","","","","",""
"8541.10.00.50","3","Zener","[""No.""]","","","","",""
"8541.10.00.60","3","Microwave","[""No.""]","","","","",""
"","3","Other:","","","","","",""
"8541.10.00.70","4","With a maximum current of 0.5 A or less","[""No.""]","","","","",""
"8541.10.00.80","4","Other","[""No.""]","","","","",""
"","1","Transistors, other than photosensitive transistors:","","","","","",""
"8541.21.00","2","With a dissipation rate of less than 1 W","","Free","","35%","",""
"8541.21.00.40","3","Unmounted chips, dice and wafers","[""No.""]","","","","",""
"","3","Other:","","","","","",""
"8541.21.00.75","4","With an operating frequency not less than 100 MHz","[""No.""]","","","","",""
"8541.21.00.95","4","Other","[""No.""]","","","","",""
"8541.29.00","2","Other","","Free","","35%","",""
"8541.29.00.40","3","Unmounted chips, dice and wafers","[""No.""]","","","","",""
"","3","Other:","","","","","",""
"8541.29.00.75","4","With an operating frequency not less than 30 MHz","[""No.""]","","","","",""
"8541.29.00.95","4","Other","[""No.""]","","","","",""
"8541.30.00","1","Thyristors, diacs and triacs, other than photosensitive devices","","Free","","35%","",""
"8541.30.00.40","2","Unmounted chips, dice and wafers","[""No.""]","","","","",""
"8541.30.00.80","2","Other","[""No.""]","","","","",""
"","1","Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes (LED):","","","","","",""
"8541.41.00.00","2","Light-emitting diodes (LED)","[""No.""]","Free","","20%","",""
"8541.42.00","2","Photovoltaic cells not assembled in modules or made up into panels","","Free","","35%","",""
"8541.42.00.10","3","Crystalline silicon photovoltaic cells of a kind described in statistical note 10 to this chapter","[""No."",""W""]","","","","",""
"8541.42.00.80","3","Other","[""No."",""W""]","","","","",""
"8541.43.00","2","Photovoltaic cells assembled in modules or made up into panels","","Free","","35%","",""
"8541.43.00.10","3","Crystalline silicon photovoltaic cells of a kind described in statistical note 10 to this chapter","[""No."",""W""]","","","","",""
"8541.43.00.80","3","Other","[""No."",""W""]","","","","",""
"8541.49","2","Other:","","","","","",""
"8541.49.10","3","Other diodes","","Free","","35%","",""
"8541.49.10.10","4","Unmounted chips, dice and wafers","[""No.""]","","","","",""
"8541.49.10.50","4","Other","[""No.""]","","","","",""
"8541.49.70","3","Transistors","","Free","","35%","",""
"8541.49.70.40","4","Unmounted chips, dice and wafers","[""No.""]","","","","",""
"8541.49.70.80","4","Other","[""No.""]","","","","",""
"","3","Other:","","","","","",""
"8541.49.80.00","4","Optical coupled isolators","[""No.""]","Free","","35%","",""
"8541.49.95.00","4","Other","[""No.""]","Free","","35%","",""
"","1","Other semiconductor devices:","","","","","",""
"8541.51.00.00","2","Semiconductor-based transducers","[""No.""]","Free","","35%","",""
"8541.59.00","2","Other","","Free","","35%","",""
"8541.59.00.40","3","Unmounted chips, dice and wafers","[""No.""]","","","","",""
"8541.59.00.80","3","Other","[""No.""]","","","","",""
"8541.60.00","1","Mounted piezoelectric crystals","","Free","","35%","",""
"","2","Quartz designed for operating frequencies of:","","","","","",""
"8541.60.00.10","3","32.768 kHz","[""No.""]","","","","",""
"8541.60.00.20","3","Not exceeding 1 MHz, except 32.768 kHz","[""No.""]","","","","",""
"8541.60.00.30","3","Exceeding 1 MHz, but not exceeding 5 MHZ","[""No.""]","","","","",""
"8541.60.00.50","3","Exceeding 5 MHZ, but not exceeding 20 MHz","[""No.""]","","","","",""
"8541.60.00.60","3","Exceeding 20 MHZ","[""No.""]","","","","",""
"8541.60.00.80","2","Other","[""No.""]","","","","",""
"8541.90.00.00","1","Parts","[""No.""]","Free","","35%","",""
